,r##LENGTH##MILLIMETERS,d##LENGTH##MILLIMETERS,Structural Material##OTHER##,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Assembly Code##OTHER##,Length##LENGTH##MILLIMETERS,B##LENGTH##MILLIMETERS,H##LENGTH##MILLIMETERS,tw##LENGTH##MILLIMETERS,x##LENGTH##MILLIMETERS,A##AREA##SQUARE_METERS
H_SB_LC-60x30x10x1.6,8,10,"Steel, 45-345",0.28,1.63,,1000,30,60,1.6,10.6,1
H_SB_LC-60x30x10x2.0,8,10,"Steel, 45-345",0.28,1.99,,1000,30,60,2,10.6,1
H_SB_LC-60x30x10x2.3,8,10,"Steel, 45-345",0.28,2.25,,1000,30,60,2.3,10.6,1
H_SB_LC-75x45x15x1.6,8,15,"Steel, 45-345",0.39,2.32,,1000,45,75,1.6,17.2,1
H_SB_LC-75x45x15x2.0,8,15,"Steel, 45-345",0.39,2.86,,1000,45,75,2,17.2,1
H_SB_LC-75x45x15x2.3,8,15,"Steel, 45-345",0.39,3.25,,1000,45,75,2.3,17.2,1
H_SB_LC-90x45x20x2.0,8,20,"Steel, 45-345",0.44,3.25,,1000,45,90,2,17.3,1
H_SB_LC-90x45x20x2.3,8,20,"Steel, 45-345",0.44,3.7,,1000,45,90,2.3,17.3,1
H_SB_LC-90x45x20x3.2,8,20,"Steel, 45-345",0.44,5,,1000,45,90,3.2,17.3,1
H_SB_LC-90x50x20x3.2,8,20,"Steel, 45-345",0.46,5.25,,1000,50,90,3.2,17.3,1
H_SB_LC-100x50x20x1.6,8,20,"Steel, 45-345",0.48,2.88,,1000,50,100,1.6,18.6,1
H_SB_LC-100x50x20x2.0,8,20,"Steel, 45-345",0.48,3.56,,1000,50,100,2,18.6,1
H_SB_LC-100x50x20x2.3,8,20,"Steel, 45-345",0.48,4.06,,1000,50,100,2.3,18.6,1
H_SB_LC-100x50x20x2.6,8,20,"Steel, 45-345",0.48,4.55,,1000,50,100,2.6,18.6,1
H_SB_LC-100x50x20x3.2,8,20,"Steel, 45-345",0.48,5.5,,1000,50,100,3.2,18.6,1
H_SB_LC-125x50x20x2.0,8,20,"Steel, 45-345",0.53,3.95,,1000,50,125,2,18.6,1
H_SB_LC-125x50x20x2.3,8,20,"Steel, 45-345",0.53,4.51,,1000,50,125,2.3,18.6,1
H_SB_LC-125x50x20x3.2,8,20,"Steel, 45-345",0.53,6.13,,1000,50,125,3.2,18.6,1
H_SB_LC-150x50x20x3.2,8,20,"Steel, 45-345",0.53,6.76,,1000,50,150,3.2,18.6,1
H_SB_LC-150x65x20x3.2,8,20,"Steel, 45-345",0.53,7.51,,1000,65,150,3.2,18.6,1
H_SB_LC-150x65x20x4.0,8,20,"Steel, 45-345",0.53,9,,1000,65,150,4,18.6,1
H_SB_LC-150x65x20x3.2,8,20,"Steel, 45-345",0.53,22,,1000,65,150,3.2,18.6,1
H_SB_LC-150x75x25x3.2,8,25,"Steel, 45-345",0.53,10.3,,1000,75,150,3.2,18.6,1
H_SB_LC-200x75x20x3.2,8,20,"Steel, 45-345",0.78,8.27,,1000,75,200,3.2,18.6,1
H_SB_LC-200x75x20x4.5,8,20,"Steel, 45-345",0.78,9.27,,1000,75,200,4.5,18.6,1
H_SB_LC-200x75x20x5.0,8,20,"Steel, 45-345",0.78,12.7,,1000,75,200,5,18.6,1
H_SB_LC-200x75x25x3.2,8,25,"Steel, 45-345",0.78,14,,1000,75,200,3.2,18.6,1
H_SB_LC-200x75x25x4.0,8,25,"Steel, 45-345",0.78,9.52,,1000,75,200,4,18.6,1
H_SB_LC-200x75x25x4.5,8,25,"Steel, 45-345",0.78,11.7,,1000,75,200,4.5,18.6,1
H_SB_LC-200x80x20x4.0,8,20,"Steel, 45-345",0.9,13.1,,1000,80,200,4,18.6,1
H_SB_LC-200x80x20x4.5,8,20,"Steel, 45-345",0.9,13.3,,1000,80,200,4.5,18.6,1
